Number,Answer,Weight,Part
1,A,1,1
2,B,1,1
3,C,1,1
4,B,1,1
5,C,1,1
6,D,1,1
7,D,1,1
8,D,1,1
9,B,1,1
10,A,1,1
11,E,1,1
12,B,1,1
13,A,1,1
14,D,1,1
15,B,1,1
16,A,1,1
17,C,1,1
18,A,1,1
19,B,1,1
20,B,1,1
21,B,3,2
22,D,3,2
23,B,3,2
24,D,3,2
25,A,3,2
26,C,3,2
27,B,3,2
28,C,3,2
29,B,3,2
30,A,3,2
31,A,3,2
32,C,3,2
33,B,3,2
34,A,3,2
35,D,3,2
36,A,3,2
37,C,3,2
38,D,3,2
39,B,3,2
40,A,3,2
41,D,1,3
42,B,1,3
43,D,1,3
44,B,1,3
45,D,1,3
46,C,1,3
47,B,1,3
48,C,1,3
49,A,1,3
50,C,1,3
51,C,1,3
52,B,1,3
53,D,1,3
54,B,1,3
55,A,1,3
56,B,1,3
57,C,1,3
58,B,1,3
59,A,1,3
60,D,1,3
61,B,4,4
62,B,4,4
63,D,4,4
64,B,4,4
65,A,4,4
66,B,4,4
67,E,4,4
68,A,4,4
69,C,4,4
70,A,4,4
71,B,4,4
72,D,4,4
73,B,4,4
74,A,4,4
75,E,4,4
76,B,4,4
77,B,4,4
78,A,4,4
79,C,4,4
80,B,4,4
81,B,4,4
82,D,4,4
83,B,4,4
84,E,4,4
85,C,4,4
86,A,4,4
87,B,4,4
88,D,4,4
89,E,4,4
90,A,4,4
91,B,4,4
92,C,4,4
93,E,4,4
94,A,4,4
95,C,4,4
96,A,4,4
97,C,4,4
98,A,4,4
99,C,4,4
100,A,1,5
101,D,1,5
102,B,1,5
103,B,1,5
104,E,1,5
105,A,1,5
106,A,1,5
107,C,1,5
108,B,1,5
109,E,1,5
110,B,1,5
111,A,1,5
112,D,1,5
113,B,1,5
114,A,1,5
115,B,1,5
116,C,1,5
117,B,1,5
118,A,1,5
119,C,1,5
120,B,1,5
